uniq_id,product_name,category,price,discounted_price,brand,rating,label,discount_percentage
alibaba_1591,"Infinix HOT 10 PLAY - 2GB RAM 32GB ROM - 13MP Ai Dual Camera - 6.82"" HD+ Display - 6000 mAh Battery",Unknown,0.0,0.0,Unknown,4.8,-1,0.0
alibaba_4644,Rs. 282,Unknown,0.0,0.0,Unknown,Unknown,-1,0.0
alibaba_9003,Rs. 350,Unknown,0.0,0.0,Unknown,Unknown,-1,0.0
206aca7770fc04edf91ea4a06eadeb08,Fashblush Round Dazzle Marble Bella Forever New Alloy Necklace,"[""Jewellery >> Necklaces & Chains >> Necklaces""]",999.0,197.0,Fashblush,No rating available,1,0.8028028028028028
alibaba_6642,Rs. 299,Unknown,0.0,0.0,Unknown,Unknown,-1,0.0
4e93dfc70102c1c685e124c666f7e8fd,Civilized Showdown Women's Jeggings,"[""Clothing >> Women's Clothing >> Western Wear >> Leggings & Jeggings >> Leggings & Jeggings >> Civilized Showdown Leggings & Jeggings""]",1099.0,699.0,Unknown,No rating available,1,0.36396724294813465
alibaba_4408,Rs. 283,Unknown,0.0,0.0,Unknown,Unknown,-1,0.0
B078G6ZF5Z,"Oraimo 18W USB & Type-C Dual Output Super Fast Charger Wall Adapter PE2.0&Quick Charge 3.0 & Power Delivery 3.0 Compatible for iPhone 13/13 Mini/13 Pro Max/12/12 Pro Max, iPad Mini/Pro, Pixel, Galaxy, Airpods Pro",Electronics|Mobiles&Accessories|MobileAccessories|Chargers|WallChargers,0.0,699.0,Unknown,4,0,0.0
alibaba_4043,Rs. 940,Unknown,0.0,0.0,Unknown,Unknown,-1,0.0
884fae28f6b43ad47ffb79d23a8d5b1c,Pantof Women Heels,"[""Footwear >> Women's Footwear >> Heels >> Pantof Women Heels""]",1790.0,895.0,Pantof,No rating available,1,0.5
59eb1cc756d666a3b1cce0bdb0f70c36,Vetra E00TY18 Multifunction Car Tray For Ford Fiesta Cup Holder Car Tray Table,"[""Automotive >> Accessories & Spare parts >> Car Interior & Exterior >> Car Interior >> Car Tray Tables >> Vetra E00TY18 Multifunction Car Tray For Ford Fi...""]",799.0,448.0,Vetra,No rating available,1,0.43929912390488113
0bb0f7b7a3075f4b9459121abe2185fa,Eternity Handcrafted unique Mosaic Glass Table Lamp,"[""Home Decor & Festive Needs >> Decorative Lighting & Lamps >> Table Lamps >> Eternity Table Lamps >> Eternity Handcrafted unique Mosaic Glass Table L...""]",1699.0,1499.0,Eternity,No rating available,1,0.11771630370806356
